Summary :
	C	Count	Total
	-	-----	-----
	1	    1	    1
	2	   75	   76
	3	   32	   33
	4	  132	  208
	6	   96	  204
	8	   48	  256

Schema :
	N	P 	Xor PermutationInt64
	-	--	--------------------
	0	 1	0000 0000  0000 0000
  85	31B9 75FD  20A8 64EC	3	3 1320	9 3021	3x1
  86	3726 1504  BFAE 9D8C	3	3 2013	6 1203	3x1
  87	3B2A 7F6E  1908 5D4C	3	3 3021	A 1320	3x1
  88	5713 4602  DF9B CE8A	3	5 1203	6 2013	3x1
  89	5140 7362  D9C8 FBEA	3	5 2013	3 1203	3x1
  90	5173 D9FB  4062 C8EA	3	5 2130	9 3102	3x1
  91	5D7F 4C6E  193B 082A	3	5 3102	C 2130	3x1
  92	6723 EFAB  4501 CD89	3	6 0231	A 0312	3x1
  93	67EF 45CD  23AB 0189	3	6 0312	C 0231	3x1
  94	6420 7531  ECA8 FDB9	3	6 1203	3 2013	3x1
  95	6273 4051  EAFB C8D9	3	6 2013	5 1203	3x1
  96	9B13 DF57  8A02 CE46	3	9 1320	A 3021	3x1
  97	9DBF 1537  8CAE 0426	3	9 2130	C 3102	3x1
  98	9180 D5C4  B3A2 F7E6	3	9 3021	3 1320	3x1
  99	91B3 80A2  D5F7 C4E6	3	9 3102	5 2130	3x1
 100	ABEF 2367  89CD 0145	3	A 0231	C 0312	3x1
 101	AB23 8901  EF67 CD45	3	A 0312	6 0231	3x1
 102	A820 EC64  B931 FD75	3	A 1320	3 3021	3x1
 103	A2B3 E6F7  8091 C4D5	3	A 3021	9 1320	3x1
 104	CD89 4501  EFAB 6723	3	C 0231	6 0312	3x1
 105	CD45 EF67  8901 AB23	3	C 0312	A 0231	3x1
 106	C8EA 4062  D9FB 5173	3	C 2130	5 3102	3x1
 107	C4E6 D5F7  80A2 91B3	3	C 3102	9 2130	3x1
    	                    	 	      	      	   
 108	0246 8ACE  1357 9BDF	4	0 1230	0 3012	4x1
 109	028A 139B  46CE 57DF	4	0 1302	0 2031	4x1
 110	0415 8C9D  2637 AEBF	4	0 2031	0 1302	4x1
 111	048C 26AE  159D 37BF	4	0 2310	0 3201	4x1
 112	0819 2A3B  4C5D 6E7F	4	0 3012	0 1230	4x1
 113	084C 195D  2A6E 3B7F	4	0 3201	0 2310	4x1
 114	3175 B9FD  2064 A8EC	4	3 1230	9 3012	4x1
 115	31B9 20A8  75FD 64EC	4	3 1302	5 2031	4x1
 116	3726 BFAE  1504 9D8C	4	3 2031	A 1302	4x1
 117	37BF 159D  26AE 048C	4	3 2310	C 3201	4x1
 118	3B2A 1908  7F6E 5D4C	4	3 3012	6 1230	4x1
 119	3B7F 2A6E  195D 084C	4	3 3201	C 2310	4x1
 120	5713 DF9B  4602 CE8A	4	5 1230	A 3012	4x1
 121	57DF 46CE  139B 028A	4	5 1302	C 2031	4x1
 122	5140 D9C8  7362 FBEA	4	5 2031	3 1302	4x1
 123	51D9 73FB  40C8 62EA	4	5 2310	9 3201	4x1
 124	5D4C 7F6E  1908 3B2A	4	5 3012	A 1230	4x1
 125	5D19 4C08  7F3B 6E2A	4	5 3201	6 2310	4x1
 126	6420 ECA8  7531 FDB9	4	6 1230	3 3012	4x1
 127	64EC 75FD  20A8 31B9	4	6 1302	9 2031	4x1
 128	6273 EAFB  4051 C8D9	4	6 2031	9 1302	4x1
 129	62EA 40C8  73FB 51D9	4	6 2310	5 3201	4x1
 130	6E7F 4C5D  2A3B 0819	4	6 3012	C 1230	4x1
 131	6E2A 7F3B  4C08 5D19	4	6 3201	A 2310	4x1
 132	9BDF 1357  8ACE 0246	4	9 1230	C 3012	4x1
 133	9B13 8A02  DF57 CE46	4	9 1302	6 2031	4x1
 134	9D8C 1504  BFAE 3726	4	9 2031	6 1302	4x1
 135	9D15 BF37  8C04 AE26	4	9 2310	A 3201	4x1
 136	9180 B3A2  D5C4 F7E6	4	9 3012	3 1230	4x1
 137	91D5 80C4  B3F7 A2E6	4	9 3201	5 2310	4x1
 138	A8EC 2064  B9FD 3175	4	A 1230	5 3012	4x1
 139	A820 B931  EC64 FD75	4	A 1302	3 2031	4x1
 140	AEBF 2637  8C9D 0415	4	A 2031	C 1302	4x1
 141	AE26 8C04  BF37 9D15	4	A 2310	6 3201	4x1
 142	A2B3 8091  E6F7 C4D5	4	A 3012	5 1230	4x1
 143	A2E6 B3F7  80C4 91D5	4	A 3201	9 2310	4x1
 144	CE8A 4602  DF9B 5713	4	C 1230	6 3012	4x1
 145	CE46 DF57  8A02 9B13	4	C 1302	A 2031	4x1
 146	C8D9 4051  EAFB 6273	4	C 2031	5 1302	4x1
 147	C840 EA62  D951 FB73	4	C 2310	3 3201	4x1
 148	C4D5 E6F7  8091 A2B3	4	C 3012	9 1230	4x1
 149	C480 D591  E6A2 F7B3	4	C 3201	3 2310	4x1
 150	FDB9 7531  ECA8 6420	4	F 1230	F 3012	4x1
 151	FD75 EC64  B931 A820	4	F 1302	F 2031	4x1
